,text,label
6014,舒服,positive
12040,瘦下來 笑得满地打滚  笑得满地打滚  笑得满地打滚 ,positive
17292,紹平可愛,positive
12347,噁心~,negative
15056,拐氣！,negative
24604,李茂祁 笑得满地打滚  笑得满地打滚  笑得满地打滚 ,positive
9162,謝謝,positive
27023,擊球的收音效果不好,negative
21612,真的看不下去,negative
20877,球好痛,negative
10400,滿關鍵的,positive
8133,那間土魠魚羹越來越貴了,negative
14743,沒有聲音欸,neutral
24571,送幸福,positive
19887,太高 打到臉,negative
11929,Niceee ,positive
13684,原來，謝謝,positive
23208,好揪結 ,positive
20026,很明顯,positive
16370,Bravo Saro!!!,positive
31079,上一場的五局超過癮,negative
17943,好恐怖我草,negative
7642,太扯了 這比賽  斜眼笑  ,negative
22887,表現太差了,negative
24518,跳好高,positive
32532,"包球聲音打下去的聲音好大聲@@""",positive
20197,感覺也有越界,positive
29443,感謝國家栽培XDDDDD,positive
9382,他被排協排泄,negative
13152,反彈!!,negative
9949,怒猜最後一局又要鍋貼了,negative
3001,他今天有幾球不錯,positive
6643,比賽不公平叫作比賽一部分? 笑死,negative
8622,好正,positive
3158,我心臟不行了,negative
17586,對 平時真的不插,neutral
6083,真的超大聲,positive
14973,藍得好,positive
16232,不過 還是比較愛 Artamonova ,positive
1302,沒什麼影響吧,neutral
359,鄧式尷尬 雙邊尷尬 XDD,negative
17150,連11勝,positive
18850,心態崩了,negative
20926,五吉五吉,positive
1635,好認真讀書,positive
8539,那邊不缺吧,positive
105,希望台灣排球界能越變越好,positive
6696,漂亮!!!XDDD,positive
5055,許宛芸 好可愛,positive
18984,好棒,positive
1609,大家都打得很好 做成心形的双手  做成心形的双手  做成心形的双手 ,positive
20966,對啊，昨天一直跟我互動，哈,positive
20268,現在YT也有真的方便很多,positive
13746, 笑得满地打滚  笑得满地打滚  笑得满地打滚 ,positive
16024,好可愛,positive
28076,我打錯字喇,negative
6880,新冠軍,positive
3194,真的是開網打得好,positive
23100,太好了~~,positive
13414,夸张啊 快3小时了,negative
4111,哭了,negative
29790,前鑌說的很好 拇指向上 ,positive
32052,漂亮,positive
10542,康堤的臉都很殺,negative
15957,我爸都邊看邊罵，索性都不跟他看。 笑哭了  笑哭了 ,negative
5737,超強啦,positive
10691,沒有明星賽..絕望中 吓死了 ,negative
24365,可愛的團團byebye,positive
20494,非常刺耳,negative
30741,雲豹其他人真的太爛了,negative
19022,哭了,negative
13191,太扯了吧,negative
31491,so sad  放声大哭 ,negative
9941,好的 好的 ,positive
22537,司線員好眼力,positive
18097,到底發生什麼事 吓死了  吓死了  吓死了 ,negative
5056,老虎油是真的好笑,positive
29062,笑死黑桃A,negative
14384,就找不到可以代替小毛，所以都是小毛在打..真的一身傷,negative
3056,元老 笑得满地打滚  笑得满地打滚  笑得满地打滚 ,positive
29269,妹妹可愛,positive
12059,漂亮！,positive
20138,慘了,negative
9647,哇胃痛,negative
8008,卡啦悶暴,negative
18738,追回去好嗎,positive
5776,不可以,negative
32584,漂亮,positive
28206,祝大家新年快樂！,positive
17718,靖儀複賽受傷了；希望決賽之前腳傷有好一點,negative
5802,笑死,negative
32051,很想阿,positive
3737,good,positive
26726,齁優,positive
29055,可能是欺敵戰術,negative
23076,冠軍賽的精采內容,positive
18084,好像有點壞ww,negative
6229,太扯了太扯了太扯了,negative
8583,偷襲失敗,negative
14696,好拼喔,positive
32435,靠,positive
21208,好多英文的,positive
29040,快笑死,negative
31346, 笑得满地打滚 ,positive
20683,太閃…,negative
6035,超危險,negative
23746,超超超超超超超超棒,positive
21475,踩線最虧,negative
3748,好爛的比賽,positive
10904,只是有時真的衝太快 笑哭了 ,negative
12184,腳都勾到屁溝裡了,negative
21184,哥哥好認真,positive
10384,@Heiman 感謝解答！,positive
13447,所以才說本土洋將 笑得满地打滚 ,positive
7320,太扯,negative
3814,差低,negative
4787,修正球康體敢打很多的感覺,positive
12446,現在配的好順,positive
78,挖塞!,negative
12528,畢竟他是有實力入選國家隊,positive
32151,:yougotthis::goodvibes:,positive
14532,看完魔獸看排球 真享受,positive
32785,一分差啦 ,negative
6320,笑死,negative
9580,第二都尷尬了,negative
28880,感謝,positive
16760, 安静的脸 ,neutral
12275,六樓有感,positive
15880,211 熟悉的感覺,positive
812,差滴,negative
13452,曉珮我愛你,positive
3229,副審笑得超開心,positive
19750,笑,positive
1475,剛那球有過也不好接,negative
24885,寶媽,positive
15410,回到20歲真好笑,positive
23313,平了 ,neutral
12180,@錢柏丞 找我是不適,negative
8928,我覺得昭明很強啊,positive
10261,好感傷,positive
32842,突然失了好幾分,negative
11512,雖然很重要啦，這樣實在有點有趣,positive
11655,也太難捨難分,negative
19666,好棒!!!!!!,positive
25821,沒問題啊,positive
10797,冠州好欸,positive
4870,那真的會大爆冷門,negative
12725,姐姐很High,positive
8896,修正的好,positive
794,感覺穿插在各隊像實習幫助也許更大 自信心也是可以培養的,positive
4664,感謝大家回饋XD,positive
31208,小龍今天狀況很好喔,positive
7538,太扯啦,negative
15654,卡啦終於好一點,positive
26027,好想看現場,positive
27373,好手腕,positive
22937,差不多的陣容沒有什麼變,neutral
8558,故意喊的,negative
1043,問就是愛心,positive
8148,受傷啦 雲喔？,negative
17083,氣氛,positive
14813,哇哇,positive
17201,傻眼,negative
26293,落第了啦 但沒處理好還是很慘,negative
15702, 双感叹号  双感叹号  双感叹号 ,positive
16925,聲音好好聽喔,positive
1313,好好笑,positive
20200, 笑哭了  笑哭了 ,negative
31717,對喔~~彰師體育館,positive
15235,守得好！！！,positive
17457,好強 繞中線XD,positive
25597,有點慘 冷脸 ,negative
2037,希望企排19有哈孝遠可以看,positive
560,哪裏怪怪的,negative
23373,上車好好笑,positive
15751,開心~~~~~~~~,positive
10519,台灣的球風，走日本打法 訓練起來也是可以很強的,positive
16614,香,positive
9816,失言囉,negative
12519,True,positive
8473,喔謝謝,positive
17974,而且看排球比看籃球cp值高多了，300看一整天,positive
28844,好眼力,positive
23243, 好飄,positive
15335,飛好遠,positive
3188,全身萬能,positive
27628,扭到，好痛,negative
31812,炸裂,negative
1174,幸福感滿滿,positive
31951,還好啦 他每次來就傳教任務 2/2  斜眼笑  沒有一直洗就還好 ,positive
6514,被ㄍㄨㄞˇ氣了,negative
12792,彰師大體育館,positive
28670,而且很協調,positive
29533,哇哦哦哦,positive
3561,头表示痛痛,negative
20509,那球太為難她了吧,negative
6189,大家可以回家啦,positive
15009,好嗨,positive
31218,焦焦不開心,negative
15634,Laban lng bagunas,positive
28275,舒服,positive
14216,增加比賽觀看性,positive
16690,好高,positive
32013,"跟學校差不多, 一流公立大學教授跟公務員一樣, 反而私立學校很敢給, 公立大學教授拿到研究計畫要給學校15趴的管理費, 私立學校給你相對的經費還有獎勵",positive
26377,好好上班,positive
32613,也沒致意欸,neutral
28759,鄭態度超好,positive
22658,他們再說之前那球 不適最後一球,negative
25891,很明顯,positive
29893,出手快,positive
15183,曉珮!!,positive
29881,認識也沒好處。。,negative
27066,應該可以吧,positive
22580,恨鐵不成鋼的恨,negative
4902,都支持,positive
15617,等台北場就會去現場支持了！,positive
25125,k總生氣了啦,negative
11087,好好笑,positive
15314,都辛苦了,negative
23023,應該要單場單場算 算整天的觀眾會失真⋯⋯,negative
11375,都馬打到畢業而已 環境這麼差XD,negative
23106,雙目你好,positive
15436,有綺芳,positive
24212,張力十足啊！,positive
32109,不過排球是真的技術性高,positive
9061,好硬...太辛苦..,negative
5428,這球真的就得漂亮,positive
9407,太搶球了吧,negative
32619,要播到半夜了 笑得满地打滚 ,positive
19060,免費的將就一下⋯⋯（？ 头昏眼花 ,negative
16534,把分得起來！,positive
31075,ok！,positive
2023,什麼問題 笑哭了 ,negative
20214,今天好HIGH,positive
14576,虧大了,negative
29021,每次都覺得有什麼陰謀論…,negative
23972,這球很可以,positive
24419,好想去當球童…擦地板也好啦(◐‿◑),positive
8603,真的會哭啊,negative
12066, 鹰  鹰  鹰 整體進步好多啊,positive
26489,See no 19 is good  红桃 ,positive
18229,如果聯賽規模有大到分層級像V1.V2.V3那當然是最好,positive
11055,又亂流了,negative
23103,前鑌新婚不愉快了～,negative
468,真的好像越看越像,positive
26545,氣死,negative
24565,哇~~~,positive
6625,美靜老師真的好高,positive
19579,失戀嗎,negative
22851,雞排好吃,positive
8704,還可以值回票價,positive
28773,看她們進步也很開心,positive
31496,謝謝你,positive
28735,可能開刀完還沒好,negative
23186,太扯了,negative
7801,許 受傷 放声大哭 ,negative
17037,愛熊熊,positive
24468,平了平了,neutral
19872,平了,neutral
4166,有妹子　一定香！！,positive
8499,佳曼好可愛,positive
2895,好飛,positive
16292,線審好快,positive
10234,大家對比愛心有什麼看法,positive
32730,比愛心啦,positive
25046,慘ㄌ,negative
5651,漂亮的反擊！！！,positive
11041,大學生越打越HIGH越打越好,positive
15113,有的人很享受,positive
1571,開心,positive
12227,快樂阿璽快樂打球！,positive
10539,彰師大跟社男,positive
5462,對呀！,positive
7841,現在就是一場定生死,negative
31681,這球好欸,positive
20292,危險了,negative
22573,昨天太累了吧,negative
13563,親！愛！精！誠！,positive
8106,吊的好,positive
28211,被氣氛了,negative
22297,快破萬了,negative
32521,盛情難卻,negative
9976,越打越聰明,positive
326,魔獸心想：算了，我就這樣撐完一年吧..... 微笑天使  微笑天使  微笑天使  微笑天使 ,positive
31020,欄得好,positive
32717,好好笑,positive
24977,哭了,negative
21943,破萬了,negative
12714,甚麼小扭 大扭了吧,negative
9924, 笑哭了  斜眼笑 ,negative
16947,我心臟不行了啦,negative
29442,:goodvibes::goodvibes::goodvibes:,positive
13950,歐～謝謝,positive
16535,Here Comes The Boom!,positive
13299, 笑哭了  笑哭了 ,negative
28026,糟糕~~沈受傷了,negative
10352,笑死,negative
2610, 笑哭了 ,negative
17883,好像受傷吧,negative
498,今天都滿虐的,negative
7965,崩了,negative
32415,他說怕撞到頭XDDDD,negative
18077,黃小弟好拚,positive
24554,快樂阿璽打快樂球！！,positive
21556,笑死'',negative
8922,結果效果意外好（開玩笑,positive
1442,good ball yunnn,positive
8204,今年真的好幾場史詩級比賽,positive
19609,恩哥看來有練過喔,positive
16894,名字真的不好記 Zsanett 的樣子  斜眼笑  ,negative
21681,可憐破財,negative
32172,好想念家昌:(,positive
13816,肉包好吃,positive
9597,可愛,positive
16382,臭XD,negative
9678,超好笑,positive
23650,女排球 才有肢體美 跟來回的技術美,positive
24749,文誠太鬼了,negative
24460,沒辦法，畢竟是老闆吧,negative
30094,善用封鎖喔~,positive
22839,哦哦哦哦！,positive
1107,人都麻了,negative
22329,強手~,positive
14765,那球我還記得,positive
9345,好比賽,positive
8514,有點危險 警告 ,negative
30556,石川協調性比較好,positive
23977,成績先起來吧 後面再來做行銷,positive
27085,肉包好吃,positive
23095,我覺得台灣整個籃球都在亂打啊，不只雲豹,negative
8643,是整個人太大,negative
31156,哇！有外國人。,positive
17425,代表看不下去了(?),negative
31623,Santos從第一場就這樣 笑得满地打滚  笑得满地打滚 個人風格拉滿,positive
15713,陳珠珠,positive
22326,太晚換了吧,negative
24060,好痛...,negative
19057,竟然落後,negative
29487,西田打球都超high,positive
17066,哇～～～～,positive
4242,妹妹就不錯 怎麼哥哥差那麼多,positive
12836,笑死了,negative
7648,是可以這樣的嗎,positive
25495, 笑哭了 ,negative
5217,yayy congrats no. 17!!!,positive
7628,好奇！ 吃惊  吃惊 ,positive
6286,垂直往下 笑得满地打滚 ,positive
10429,昭明跳發練得很成功ㄟ,positive
32646,太鬼了,negative
23846,真的好大,positive
20899,還在讀書的都是彰師大的,positive
11679,希望企排越辦越好,positive
11408,差低,negative
13719,兩隊都好棒,positive
6863,實力有差距 康堤哭哭,negative
20103,支持售票~,positive
19063,笑死,negative
6737,哇哇哇哇,positive
25907,領先！,positive
27124, 聚会笑脸  聚会笑脸  聚会笑脸 ,positive
10116,好有禮貌,positive
20125,還有冠亞吧,positive
11517,又再最後一球抓戰犯嘍 有夠無聊= = ,negative
520,好狠,positive
8814,笑死 太平洋,negative
6432, 笑哭了  笑哭了 ,negative
3888,"有在臉書看過, 全身刺青",negative
22768,林應該很穩,positive
10402,林靜儀是立委嗎 笑得满地打滚 ,positive
21416,拐氣,negative
9502,太棒了,positive
31649,恨瘸瘸,negative
5528,哇哇哇,positive
10382, 聚会笑脸  聚会笑脸  聚会笑脸 ,positive
13318,冠軍點！！！！！！！！！！！！！！,positive
233,想念仁威,positive
31098,心痛,negative
2232,好魚躍,positive
30617,師大的課程都蠻硬的 不忍說,negative
13636,賽評超好笑,positive
29993,好敢發,positive
32868,太厉害了,negative
18712,胃酸逆流了,negative
12283,我會吐血,negative
32131,我的心臟要不行了,negative
2689,一直唸錯名字很煩,negative
8576,反應真快,positive
8687,出手越來越快了,positive
14289,"大義滅親, 很好",positive
10511,發很好欸,positive
25143,達美樂？,positive
27045,輸球就嘴對手球品不好很正常啊笑死,negative
24581,超高,positive
657,請把19號帶回來。 我想見他。 我的心都碎了  放声大哭  累死了  沉思  吓死了 ,negative
19469,驚喜球,positive
24735,開始失分,negative
1970, OK 簽了啦 OK ,positive
8701,對!!!,positive
15670,我發現今天在右邊場的好像幾乎都會輸 笑哭了 ,negative
13340,爆炸頭比較美啊,positive
6195,彰化天氣很好XD,positive
13330,搞笑男排,positive
10058,棉花糖換新衣狀態很好 拇指向上 ,positive
13691,快樂富家子弟,positive
29245,超精采... 忍住泪水 ,positive
32763,笑死真的很像紋身,negative
30665,球季太短,negative
12053,跳得也太高了吧,negative
16933,首得好,positive
19146,震撼教育,positive
23148,Bia!,positive
12512,雅惠回來囉,positive
5084,漂亮啊,positive
30675,夜長夢多啊,positive
27119,沒關係，至少不尷尬了,neutral
27703,彩帶準備好,positive
17092,受傷,negative
4987,雙重享受,positive
18892,主審也是被罵很慘,negative
22393,越界了吧,positive
25314,受傷？,negative
12930,老師懂回答 直接完美迴避,positive
5437,簡看訪談交大好像畢業了,positive
25620,不管那裡的官僚都很討人厭,negative
28730,太扯了,negative
1366,哇！,positive
16234,二審 笑得满地打滚 ,positive
14167,第2局拿下!!在一局就冠軍了,positive
13858,笑死hhh,negative
7614,Schenatt感覺累了 不換休息一下嗎 哭 ,negative
31036,臉就會看起來很死沉,negative
13439,阿國 建禎 育昇之前有合照一張,positive
18376,感覺陳恩得真的蠻值得培養的,positive
7714,好好笑,positive
22626,Niceeee,positive
7149,學霸念sports最標準,positive
12988,妨礙守備!!!!!!,negative
9685,我來造福外國球迷,positive
9814,meronsorry may bad,negative
5818,好邊,positive
21306,石川來台灣每個都吊起來虐,negative
4814,了解 謝謝,positive
25386,差低,negative
28240,新年快樂！新的一年也是不下班！！,positive
6740,簡老師的胸口還好嗎ww,positive
14082,受伤,negative
11686,不是責罵是建議,neutral
20011,受傷,negative
31618,不對,negative
25567,差滴,negative
7379,哇！,positive
20684,地板感覺很滑 笑得满地打滚 ,positive
21953,看到手心冒汗,negative
29971,跳得高,positive
11814,巴西老將Moser當年的跳發也是很俐落很經典,positive
31146,不知是否隊內氣氛也是有點問題,negative
20052,分數也太拉鋸,negative
28955,剛好,positive
1402,好好笑 笑哭了 ,positive
20219,好好笑,positive
24598,比愛心進去的,positive
76,強勢回歸,positive
5658,擋得好！！！,positive
11108,主審現在很尷尬主審現在很尷尬主審現在很尷尬主審現在很尷尬主審現在很尷尬主審現在很尷尬主審現在很尷尬主審現在很尷尬主審現在很尷尬主審現在很尷尬主審現在很尷尬主審現在很尷尬主審現在很尷尬,negative
17977,猜一個可以,positive
18959,主審現在很尷尬主審現在很尷尬主審現在很尷尬主審現在很尷尬主審現在很尷尬主審現在很尷尬主審現在很尷尬主審現在很尷尬主審現在很尷尬,negative
10840,有外國朋友關注很好呀,positive
3044,好雲喔,positive
1675,好強,positive
749,明天猜拳好了,positive
9329,nice!!,positive
27756,雨柔磅數真的棒,positive
31602,27分 是什么鬼,negative
17827,計分打錯了,negative
17106,看到了 笑得满地打滚 誰跟你一樣睡到現在,positive
16598,真的要下班了 笑哭了 ,negative
12764, 喜笑颜开 ,positive
6254,這甚麼鬼,negative
28832,比淨失分,negative
10203,恩崇坐不住了~太膠著了,negative
5717,nicart torn ako between coach and owner ih  笑哭了  笑哭了  笑哭了 ,negative
23769,快發落點又好,positive
24693,漂亮,positive
23236,世豪的飲料店做的還好嗎,positive
31732,好正,positive
8199,好強哦,positive
3413,嘲諷在國外會被打,negative
18321,全都訪！,positive
30742,昨天屎臉,negative
15084,哇~~,positive
24781,球都好炫呀,positive
16731,笑死 斜眼笑 ,negative
9573,剛剛也有貢獻,positive
18014,翔銘！！,positive
30488,這是甚麼落點,negative
32426,他會說你好,positive
20165,超扯,negative
5365,尷尬了,negative
22411,有點慌了嗚嗚,negative
1563,傻眼表情,negative
9321,這叫努力爭取,positive
19636,有點問題喔,negative
10816,簡老師跑好快,positive
22575,沈受傷 放声大哭 ,negative
10155,cool cool ,positive
3379,爸爸在努力女兒在玩手機  笑得满地打滚 ,positive
646,結了婚比較多愁善感,positive
23540,差點打臉 好危險,negative
25593,madalang ang bigay kay bagunas ,positive
18477,太開心了,positive
10934,啦啦队好美啊,positive
24866,傻眼,negative
12166,太累,negative
19546,今天看現場的很划算 斜眼笑 ,positive
28527,幹球童好正,positive
25262,超棒,positive
23320,捷盛一開始也被罵超慘的,negative
10773,高举高打容易被拦住,negative
29936,祝他早日回球場,positive
30176,漂亮,positive
13324, OK  OK  OK ,positive
8728,沒辦法，人口參與還是差很多,negative
18976,拜託讓一下好嗎,positive
9584,帶情傷打的一堆,negative
16097,佩章,positive
28177,史上一場比賽讓最多人生病的賽事,negative
3866,欺負人啊！,negative
21877,温！,positive
26535,大家都累了 笑得满地打滚  笑得满地打滚  笑得满地打滚  笑得满地打滚  笑得满地打滚 ,positive
4033,我的心臟不行了,negative
29957,難看死了,negative
13331,阿胖你好,positive
9111,笑得好開心 微笑 ,positive
24442,那個葉教授真的好笑XD,positive
371,薪水也有差吧 。。。,negative
24381,真的 想念,positive
4710,瑞瑞老師你的選擇很正確,positive
31249,哇 剛剛那球 打的真好,positive
1236,看起來郭家銘狀態調整得不錯,positive
30744,超缺，很多打完大專杯就退了,negative
6698,廣告有夠尬,negative
23543,沈健欽受傷阿 放声大哭 ,negative
7164,痔氣?,negative
14909,他頭髮好酷！,positive
1468,笑死 和平東路看誰是霸主,negative
15663,當老師比較穩定,positive
23554,超怪,negative
11448,聽說受傷 受伤 ,negative
28498,謝謝老師,positive
15720,聽說有傷 想養傷,negative
29864,好希望可以再看到昱潔打球,positive
3619,什麼鬼,negative
2387,劉安心 龍呆萌 周爆發,positive
10122,又平了,neutral
1188,還不錯吧,positive
14871,賽評好能講,positive
25369,大家心臟都還好嗎,positive
20132,原來比愛心不行?,negative
14911,生氣了,negative
26432,紹平生日快樂,positive
16439,簡太急了,negative
31724,企排能下注？不行吧,negative
19256,冠軍藍彩帶,positive
28220,心跳好快 好期待,positive
22547,柯今天太罩了！！,negative
11238,可惡啊,negative
26247,這球手太好了吧,positive
7350,"不會啊, 棒球打越久越好",positive
2374,太棒,positive
11642,超大聲,positive
16803,好修正！！！,positive
17882,忠實路人粉+1,positive
26888,受不了了,negative
14306,可以理解,positive
1981,大家都好人,positive
26864,謝謝,positive
5747,用站的比較好,positive
3981,太棒了這個回答,positive
7894,火藥味球迷喜歡看,positive
7645,很沒禮貌欸 嘴巴閉閉,negative
26498,不過他自己想清楚就好了，提早轉換跑道也不錯,positive
25251,穩定供電！,positive
2074,派大將上場，代表你還是個可敬的對手,positive
2177,這球好,positive
30063,今天有看比賽的球迷真的賺到了,positive
24566,大玠好可愛,positive
19910,哈囉薛如伶,positive
31276,加班加班！,positive
26832,成功,positive
32491,球場品質看起來也很不錯,positive
4376,哇哇哇！,positive
24273,鬼阿,negative
30212,拜維佳多喝點,positive
23244,不行,negative
542,難怪都一堆傷,negative
18491,因為太晚了吧,negative
19204,差太多了啊,negative
3617,傻眼,negative
26820,太鬼了,negative
15519,愛的能量～～～,positive
21544,穩定性不均,negative
28964,真的會累啊⋯⋯,negative
19555,兩隊打的驚彩,positive
28155, 聚会笑脸  聚会笑脸  聚会笑脸 ,positive
21329,可以讓球有向右或向左的轉動,positive
20641,笑死 打到攝影師的頭,negative
2009,國際賽就不行了,negative
23820,香香的,positive
1629,這球超快,positive
7373,狀況不好也是有的,negative
14153,國外主場的經營很好吧,positive
32708,都要大學生支援了 怎麼職業,positive
9444,猜錯,negative
28575,真性情,positive
10969,新北在玩嗎 笑死,negative
609,笑死,negative
1199,巧球,positive
27160,被回敬了 笑得满地打滚 ,positive
19441,好想看到明年企排有他們進來打,positive
29622,这个可不好，年纪这么小,negative
22680,反超了,negative
26567,看到都覺得好痛，那個姿勢很熟悉，就是踩到他人，自己腳踝扭到，看來真的傷的不輕,negative
20041,又平！,neutral
18618,不敢相信～！,negative
8932,好,positive
17941,Bia 功臣啊~,positive
17639,服裝真有趣,positive
19410,笑死,negative
2368,逆轉勝利 胜利手势 ,positive
4804,今年男排很多隊都很強,positive
15325,好屌,positive
204,漂亮,positive
18468,超好笑,positive
15641,這顆漂亮,positive
27404,整隻手都傷,negative
4461,軒岑打背飛成功機率比大砲高,positive
24881,下周就開打了  笑得满地打滚 ,positive
1348,下場看起來都好可愛 笑哭了 ,positive
23309,那個也要吵?,negative
29219,靠北,positive
32669,好會,positive
21015,nice rally,positive
2241,太精采了吧,positive
30999,以年前在現場看他，非常積極,positive
24612,很好 但有什麼需求還是得語言表達欸 在台灣他怎麼溝通呢 ,positive
7838,年齡也滿分,positive
30343,倒三角照樣打的男人 笑得满地打滚 ,positive
21420,巴西人越生氣越強,negative
23828,"新娘子都嘛很漂亮, 特別是別人的 QQ",positive
10226,看久了就會覺得很可愛啦！,positive
14171,怎麼覺得後面火藥味很重,negative
27652,羅儀璟,positive
29542,左手吃香啊,positive
11059,台北超強,positive
17862,比較生氣的是菲律賓朋友吧ww,negative
23360,排球可以,positive
12014,太腰瘦了…,negative
5652, 笑得满地打滚  笑得满地打滚 ,positive
9424,需要開機時間 笑得满地打滚  笑得满地打滚 ,positive
14188,這也是好事，至少台灣的排球在進步了,positive
30131,啦啦隊的腹肌好壯,positive
19203,秀爆！,positive
30137,過譽,negative
19958,很明顯捏,negative
27590,真假...,negative
4653,愛之深 責之切 可以嘴別酸這樣,positive
5553,合理,positive
9225, 双感叹号 ,positive
20023,有趣啦~~這個球,positive
8433,真的可以期待,positive
14181,好扛,positive
32057,"完全被盯上@@""",negative
2182,好痛!!!!!,negative
4843, 笑得满地打滚  笑得满地打滚 ,positive
4921,大家都要開開心心打球啊,positive
4686,雲觀眾笑死,negative
24426,這戰術太鬼了吧⋯⋯,negative
4669,好可愛喔,positive
16177,芳！,positive
15051,老師聲音真的很好認 微笑 ,positive
5638,魯斃了,negative
28583,nice save,positive
27661,排球真的算平和的 看看隔壁籃球的 直接圍毆,neutral
8302,講話也好可愛  斜眼笑  ,positive
817,好好笑XDD,positive
29348,反應好快 以為在看彈珠台,positive
14039,後期各隊磨合差不多更難打好不好….,negative
3070,真的可以多點鼓勵,positive
30130,拜了,positive
6777,我只是說最後一顆好嗎,positive
13952,還有氣氛王,positive
2720,可以比愛心~~,positive
29396,軒岑好棒,positive
12567,aww sad ,negative
9681,恩,positive
6421,Google是你的好朋友,positive
7613,好嘞感謝，等等看回放,positive
17468,打得好,positive
27508,這個彩度很不錯，但粉色跟全白沒有那麼好分,positive
13040,挖賽，搞不好以後這些人都會進企聯,negative
18222,好好笑,positive
23324,高度不夠啊,negative
9240,感覺今天有機會加班到11. 笑得满地打滚 ,positive
8962,妹妹們錯愕XD,negative
2313,氣氛對了,positive
3472,很難 感覺要加錢 才有機會,negative
18740,我家中華的網路出問題了，請問我打給遠傳叫台哥大來修，都沒人理我怎麼辦,negative
21648,好險,positive
25076,愛熊熊,positive
32446,嘴ㄆㄧㄚˊ 笑哭了 ,negative
15935,cute ng libero small but terrible,negative
9577,nice quick,positive
31144,等等男排應該也是會斷霸了！,negative
