text,球迷的聊天
且 她们也只有拜六礼拜才能聚在一起 默契真的很需要培养,1
室內都有開暖氣應該還好,1
不知道桃園有沒有,1
对啊 从输球里找问题 小将们真的需要进步女排才能大起来少点谩骂和侮辱 多点鼓励,1
Liz Y 正解,1
沒有人在罵啦,1
沒有罵阿,1
你是誤解了什麼,1
有些酸民不用理他們,1
我要去吃火鍋了，大家掰掰,1
已經陪練至少三年了,1
看會不會哭出來,1
"是喔, 還好還有一勝XD",1
😆 好可愛,1
好靦腆XD,1
😆 ,1
屏東大學,1
屏大吧,1
雙姿雙黃,1
都好虐啊,1
88,1
轉場~,1
換場～,1
辛苦了,1
来啦,1
聲音好好聽喔,1
小將們好棒,1
感覺上個賽季也很少上場？,1
還有爌肉飯,1
妹妹們錯愕XD,1
按了,1
對,1
本場女殺手了 😂,1
奇襲欸,1
這樣也可以,1
XD,1
不要討厭😂😂😂,1
黃情維沒打了嗎,1
？？？,1
.....,1
默契不足,1
經驗還是明顯的…,1
兵敗如山倒,1
分數就像在追女朋友，以為快追到了但其實馬上就拉開,1
吃到肉包,1
好快喔,1
童綺芳勒:elbowcough::elbowcough::elbowcough::elbowcough:,1
???,1
這肉包好尷尬😅,1
沒有人在準備考試的拉 都馬前一天熬夜XD,1
哇,1
不是在後面嗎?,1
一面倒,1
阿，看到了,1
',1
不會逆轉吧XD,1
這局內容他應該還算滿意吧,1
很傷捏,1
尷尬,1
...........,1
發得很好,1
在幹嘛啦,1
謝,1
230頂住,1
嘿嘿掰掰,1
...,1
我要看五局,1
什麼啦不要鬧啦,1
經驗有累積到啦,1
沛提今天好像也很多分,1
QQ失敗,1
哇,1
恩,1
👎👎👎,1
有阿,1
謝謝~,1
他在那邊阿,1
要输了,1
哇,1
i30 BibleThump,1
哇勒,1
掰掰,1
實至名歸,1
直接結束,1
3比0扣豆,1
恩.. ,1
🤮🤮🤮🤢🤢🤢🤢🤢,1
難看死了,1
對著起進場球迷嗎,1
隊上中心人物已經慢慢培養出來 ,1
聲音好好聽喔,1
請正名 恩崇領隊 XDD,1
整隻手都傷,1
應該是去拔罐吧,1
3比0應該有用全力,1
參加了 希望能抽中,1
可愛,1
可愛,1
明天一定要準時收看啦！,1
88,1
問阿勇啊,1
ayan naa,1
敲碗碗敲,1
"told u,6:45",1
哇哇哇哇,1
但還是健康最重要,1
😉,1
last 30 seconds,1
last 20 seconda,1
last 10 sec,1
last 5 second,1
last 3 seconds,1
last 2 seconds,1
last 1 seconds,1
受傷還上喔,1
Yan na..,1
預測25：23,1
last .1 seconds,1
start,1
Asawa ko.,1
林育騰哈囉,1
cnu nanalo sa laban ng nu at dlsu?,1
@berry_ice cream24 2nd set DLSU,1
打哈欠被拍到 😆 ,1
果然有~,1
感覺有機會打三場,1
？,1
@berry_ice cream24 Ganda ng laban. Aangat ang pwet mo sa upuan.,1
Talo 😂,1
@berry_ice cream24 They were called-out to try-out. it is up to the player if he will try-out.,1
跳得也太高了吧,1
葉教授XD,1
你來我往 ,1
4 from the Phil men. 6 from Phil. womans.,1
cla ata marami.,1
9 from mens. 2 from woman.,1
補班日可能沒這麼多人,1
有啊 他有來,1
鐵粉很早就來等了 😆 ,1
女子組結束之後會清場再開放讓想看男子組的觀眾進場嗎？還是就單純整天開放入場🤔？,1
11,1
10分,1
10,1
11了,1
XDDDD,1
沈拉傷還沒好嗎,1
沒有清場 一票看到底,1
Jia and Santiago for PH,1
可是不知道會不會上,1
企排都沒清場吧]],1
下禮拜hvl好期待~,1
....,1
"Espejo, Sumanguid, Bugaoan nakalimutan ko yumg isa",1
umandal Ang isa,1
有聽說,1
從5樓打下來,1
111 km,1
111,1
大力出奇蹟,1
！！,1
用高手接 手指會斷吧= =,1
111日本照樣高手 ,1
用力打有機會！！！,1
好敢發,1
在哪看到的消息啊?,1
類似擋不是接,1
這樣也行,1
手掌會接觸比較多,1
pignoy eat pagpag,1
比數都無法拉開,1
Ig,1
每一顆都好重要！,1
mga mhies. best of three ba to? and kung oo pang ilang game na to? ,1
雙子星,1
果然是兄弟😂,1
亂了,1
Talo na,1
弄高起來!,1
時間到了,1
Walang depensa.kalat.masyado.,1
蓮塞,1
跟鬼一樣,1
有錢直接創，沒錢原地解散,1
?,1
??,1
會吧,1
？？,1
……,1
Lag,1
?,1
你還可以再問如果拿到冠軍圓夢 還會不會繼續玩,1
沒觀眾就跳出去了,1
7,1
真的打點好高,1
兇,1
這球太扯,1
saur true. akala ko nag improve na yung fd nila. mali pala ako. 🦦,1
一人扛整隊,1
Nice,1
水,1
niceeeee. love it,1
都2023年了 還有 你行你來這種邏輯 笑死,1
慣老闆,1
Kawawa naman love ko,1
i lve the setter of ws,1
打手就對了,1
第一局就這麼拼了，後面恐怕要斯殺了,1
開光嘴,1
wahhhhhh. love it,1
大毒奶😭😭😭😭😭😭😭,1
毒奶,1
老闆今天加薪加很多喔,1
HOIIIII YASSSSS,1
太恐怖啦,1
哇,1
!,1
哇哇哇,1
太幸運了,1
挖賽,1
isa pa ,1
有戰有機會 😆 ,1
哇！,1
4,1
Out,1
水,1
yay!!!!,1
夯夯夯,1
gosh!!!,1
好扯,1
bawi!!!!,1
WOOW,1
打臉,1
可惡啊,1
竟然有! XD,1
Yeeeeees,1
一分一分,1
….,1
太扯了,1
蝦!?,1
聽聲音有 XD,1
邏輯的部分,1
有嗎? XD,1
站起來播了,1
看比較清楚ＸＤ,1
傻眼,1
??,1
少了耳機啦,1
wew!!! isa na lang yan!!!,1
拐氣,1
拐起來,1
wew!!!,1
ya,1
backrow na yan!!!,1
extended set pa ohhh,1
gagiiii,1
嗚呼~~~,1
！！！！,1
1798,1
天啊,1
胃好痛😵‍💫,1
XD,1
7,1
nice one! drop ball lang. ahehe,1
差一步,1
預測30:28,1
人太重了，出不去,1
是不是真的覺得自己很兇,1
還沒輸,1
該不會真的28;30,1
催蕊,1
==,1
先猜給沛璋,1
哇哇,1
剛剛開打前說第一局28:30的是誰,1
拼一個,1
gogogo,1
service error too,1
這可以寫成排球少年的劇情了,1
bawi!!!!,1
第一局拿下 後面就有戲,1
沒拚過,1
拜託幾個咧,1
我,1
全部拚,1
woo,1
好兇哦 好怕怕,1
HUY!!!,1
太戲劇了吧,1
配球啦,1
哭阿,1
可惡啊,1
血流成河！！！,1
kakaba naman to! close flight!!!,1
價值連城,1
ilaban nyo please 😭✊🏻 ,1
誰在搞,1
kaya pa yan ,1
第一局就 6500,1
Purp byan malakas ba yan?,1
6607,1
老二直接被猜到了,1
话说许上次受伤没事吧,1
全世界都知道要給誰,1
許在場上,1
lezzzgooooo,1
水拉,1
一定要這樣嗎,1
手法太差了,1
第一局就要這樣喔,1
催落去,1
😆 ,1
搞喔,1
吼唷,1
甚麼!!!😱😱😱,1
感覺好累,1
傻眼貓咪,1
laban wonstreak!,1
...,1
水欸,1
第一局就要這麼激烈…！,1
求預測成功,1
heart beat fast.....,1
哇,1
又崩又穩的日常😭,1
挖賽,1
Hongjie!!!!,1
30分,1
水,1
拼到了,1
!!!!,1
lol,1
阿鳥威 太屌了,1
28-30,1
Hongjie one more!!!!,1
照樣發給許,1
也太難捨難分,1
平常有扶老奶奶過馬路喔😜,1
一顆一顆,1
隔壁在打世紀大戰,1
剛剛那顆球太超過了,1
後面擦球的真的正,1
laban ,1
真的要上30分欸，一開始說30-28的是不是時空旅人,1
One more Hongjie!,1
Service error! sayang!,1
Errors Errors,1
😆 ,1
預測失敗,1
突然加速,1
擦球真的美,1
沒進,1
預測失敗,1
我猜打到32分,1
bRYANNNN,1
31:29我才是未來人,1
out yan ,1
發出來,1
案你年,1
賣高,1
超高0..,1
好噁,1
wew!!!!!,1
笑死,1
YAWAAAAAA,1
iseset na lang namali pa..edi snaa tapos na,1
7086,1
mark 未來人選拔失敗,1
QQQQQ,1
wrong decission ,1
拜託幾個勒,1
哎呀,1
怎麼沒給B??,1
這什麼處理球的能力 好爛,1
到底,1
下一個未來人請準備,1
bobo,1
拜託幾個嘞,1
30:32,1
打到頭?,1
Blessed head,1
這都行⋯⋯⋯,1
太反彈了,1
33:31,1
Ubusan ng Swerte 1st set pa lang,1
32分未來人,1
肩膀吧,1
拿下,1
笑死,1
哇哇哇,1
各位未來人,1
Woahhhh,1
aun,1
哇!,1
= =,1
QQ,1
太鬼了吧,1
水拉,1
好強,1
Booooom!,1
Monster,1
LET’S GOOOOOOO,1
這就是王者,1
怪物嗎,1
真的有好運氣，還是有差,1
好強,1
水水水～～～,1
32分 預測成功,1
op,1
太可怕了,1
grabiiiiiii,1
lets goooooo,1
popcornnnn,1
未來人可以先告訴我下一期樂頭嗎,1
deep voice no. 15,1
這才是冠軍戰的水準啊🥹🥹🥹,1
冠軍賽真的很有可看性,1
台灣就沒人能捧了,1
什麼奇怪發言啊,1
一人扛全隊,1
打出水準，真的排球精進很多欸,1
@yves flores true,1
啊他就很搶眼啊,1
真的 邏輯有問題,1
心理素質強啊,1
都在看企排了 是還想捧誰,1
@Lance Tot ..totoo great,1
打的強就是強阿,1
沒留住沒關係，下一季看能不能去日本挖NISHIDA😂,1
人家可能比較不懂啦,1
score,1
那不誇他 誇誰,1
關鍵時刻確實是沒什麼用啊,1
他的最高打點聽說是368,1
運動競賽就是誰強就關注誰不是嗎?,1
快樂聯盟,1
挖西田想太多了,1
對阿,1
好了啦,1
is fi over?,1
棒球那個真心吵,1
球星本就該被聚焦 鋼鐵人不聚焦林書豪? ,1
有 最多兩位,1
有 2個,1
ang tight ng set ,1
今天會打到幾點?XD,1
女排有規定2個,1
籃球留言也不惶多讓😅🤣(酸),1
tapos na game ng NU at DLSU? cnu nanalo?,1
謝謝,1
打到八點半,1
la salle 3-0,1
สู้ ๆ รอดูอยู่,1
今天有機會看到國軍上場嗎？😭,1
企排先讓其他隊能強點吧 不然落差很大,1
DLSU pero naka 100 lipat ka muna ng live. 😂,1
sa mga Noypi wag masyado prideful nakakahiya sa mga Taiwanese low-key lang tayo please.,1
那跟本土不本土更沒關係了吧,1
好了啦小季哥 你那麼中立你去播,1
男排冠軍戰真的比女排精采多了 勢均力敵,1
別往心裡去，大家都愛排球,1
你真的太敏感了,1
真的XD,1
之前真的有衝出去 很危險,1
敏感族群不如靜音吧:|,1
還是聲音關掉 看比賽其實也可以,1
各位專心看比賽吧 比賽重要‼,1
邏輯矛盾 ,1
我從頭到尾沒有說不該捧，我是說沒必要貶低本土,1
還好吧 女排場才覺得偏一點,1
安靜就好啦～,1
章魚停在嗎,1
19 is so cute,1
沒這個人喔,1
yawa manang mga kamabal oi lotse,1
台灣的球衣可以再緊身一點，太鬆垮了,1
連球衣也要管,1
niceeee,1
心機鬼ㄉ較量,1
ahhhhhhh,1
太靠網了,1
學生時期HIGH到現在,1
看一下燈光吧 ,1
感受一下球場距離吧(?XD,1
經驗的被罩,1
喜歡翁立友吧(我問天) 😝,1
有些是要看分數的樣子,1
身體真的很活,1
距離感,1
看著點打,1
哇嗚～～～～～～,1
漂亮,1
好會抹,1
邱三小,1
Trashtalk on,1
setter瘋了,1
超大型巨人,1
連續給同一個位置,1
@Azriel no probs. salamat always,1
兩邊都好強,1
grabe ibabaw talaga,1
注意安全,1
超會騙,1
power na spike,1
好高…,1
"包球聲音打下去的聲音好大聲@@""",1
用力打機會多！,1
d talaga marunibg libero,1
本來就可以哦,1
ang ganda ng receives ng taipower. ,1
talo ulit NU? 😭 parang DLSU era to ah.,1
很久以前不行的樣子,1
yung maliit?,1
大二似乎,1
ah yung pogi,1
好年輕,1
ung cute ang mata,1
kaya pa malau pa,1
好可怕啊～～～,1
大英雄！,1
bawi tayoooo,1
說了，沒體力，打點開始降低，過網點也低了,1
yan cya oh,1
bawii,1
好了就好了,1
衝阿!!!!!!,1
受傷還可以打成這樣 誰能不愛,1
好險上禮拜受傷沒大礙,1
扣洗,1
哇～～～～,1
WOOOAOOO,1
wahhh lets go,1
已婚,1
我的超人！,1
一堆人心碎了,1
Gwapo,1
他的ig很多夫妻合照,1
??,1
手過了沒錯,1
鐵粉 high 超來,1
說不定是親戚,1
快翻譯給鐵粉看,1
有可能,1
!!!!!,1
沛高,1
201,1
給高一點,1
tabi papasok ako,1
超大型巨人,1
笑死 董事長又在,1
好了啦,1
kaya pa yan!!!,1
Actually they are my favorite teams,1
ㄏㄏ,1
尊重專業好嗎,1
你來啦！,1
騙,1
lavern,1
floor.defemse talaga prob ng WS,1
kaya yarnn,1
在外面接了 (?),1
中間打不過 就難過了,1
luhhhh. anong nangyayari hehuhehu,1
..,1
這球很尷尬 所以寧可接也不放掉,1
不要當英雄⋯,1
根本沒過網,1
wala talagang ganap huhuhuhu,1
Yung bigyan ka Lang Ng bola Kung kailan critical ang score,1
反倒 汪 還有辦法,1
確實,1
良🈹！,1
@落落 去洗澡==,1
沒看懂這一波,1
腳有過吧,1
送分！！,1
Nahilo ko sa anggulo ng camera lol,1
有,1
肚子餓就先離開現場了,1
有啦,1
保障吐,1
bawi nlng set 3,1
打點有夠高,1
nakaloka ayaw bigyan ng Set,1
iba cguro camera man nila today,1
這業配來的好圖然 (?),1
bobo,1
truly. ayaw bigyan eh effective naman sana,1
業配一整季了 怎麼會覺得突然 😆 ,1
收下了,1
bawi next set!,1
…,1
nubayan,1
第二局結束,1
水啊,1
gusto ata nila na tai Power manalo kasi All taiwanese eh,1
下局再來！,1
别受伤就好,1
middlee not worrth it,1
tambak...same from the previous game.,1
馬上搜尋,1
Maybe i will go 😂,1
who took the second set? anyone please ,1
kallaban,1
練英文啦～,1
wag Kang bias,1
1,1
 i am feel ggod,1
嚇死年薪破百還承認,1
I dot car,1
Azriel 🫶🏻🫶🏻🫶🏻,1
Pero wag naman ganun Yung mag emoji niya,1
🤣,1
我只是想讓管理員照顧我。我一直以為，當霜淇淋製作出來時，表情符號在哭泣。,1
0,1
毒奶 怕😭😭,1
🤣,1
Search for Cheng-Wang Wu,1
5Sets ba?,1
okay. let’s move on.,1
單手,1
確實,1
屋喔,1
接的好,1
ganda! ,1
Ito namang si Arjay kung ano issue naman,1
屋喔~~~~~~~~~~~~~~~~~~~~~,1
擦球的好正喔,1
持球？,1
😆 ,1
進擊的巨人沒有你我不看！,1
沛高,1
?,1
ano ang irereplay? ,1
好像踩到ㄌ,1
主持人都搞不清楚狀況,1
真的很煩：）打斷節奏,1
失敗送分,1
有點浪費,1
不是公知情嗎,1
反正失敗是他們自己虧阿,1
擦求的是阿姨了吧,1
ㄙㄨㄧˋ,1
讓我們一起土撥鼠大叫！,1
水,1
屋喔~~~~~~~~~~~~~~~~~~,1
爸氣,1
水,1
感覺這場比上一場精采,1
화이팅팅,1
有夠高！,1
挖賽,1
고 고 ~~~~~~~~~~~,1
手尾,1
手尾,1
飛吧,1
那不是找縫隙吧 那直接超手欸🤣,1
在二樓殺球,1
老天爺親自餵飯吃的空間感,1
工地小智,1
aluhhhhh,1
bakit,1
平了！,1
可剛可柔,1
三分了,1
又同匡了,1
?!!!!,1
預言家是你,1
108,1
屋喔~~,1
sana may ganap sa fd diba ,1
真的,1
Palitan ang libero,1
whuhhhh,1
112,1
紅色衣服帶眼睛的那個嗎,1
hehuu,1
basang basa yun. ,1
怎麼打！根本牆壁,1
!!!!!,1
單人!!!!,1
owoooo... attitude,1
抓個正著,1
感謝國家栽培的意思,1
吃?,1
bagal ng set kaya basang basa na,1
漂亮的你來我往,1
拿捏得意思,1
感謝國家栽培XDDDDD,1
吃,1
笑死,1
umaatittude yarn??,1
宮原宮治,1
中間給多一點好嗎～～,1
突然一轉 真的會暈XD,1
nag attitude na,1
剛瞬間頭暈 笑死,1
謝謝冷靜喵回答😊,1
yabang yern,1
這樣比較好吧,1
現在才發現嗎,1
但是打多 會被識破啦XD,1
ayy ayun lang,1
紅色衣服戴眼鏡的那個嗎,1
報仇了,1
好硬,1
好硬,1
笑死 超丟臉,1
灌籃是吧,1
@Azriel true,1
雙手輸單手 丟臉,1
這到底什麼身體素質,1
屋喔~~,1
預測分數時間 25:22,1
李庚穎 ㄚ弟啊跨三小,1
一波亂流 電流亂竄,1
小怕,1
夯夯夯,1
Ayan na si No. 20,1
來來回回！！,1
好亂啊,1
🙌 ,1
噴飛,1
下雨導電 電流亂竄 ,1
驚滔駭浪,1
太誇張XDDDD,1
眼睛都不敢眨🤣,1
這兩隊真的好美,1
白白胖胖的,1
ok lng yung swag sa men's basta walang pikunan at jombagan,1
年青小將立大功,1
nice serve barbie,1
送一分,1
nawawala fd ng taipower this set.,1
no. 20 is cute,1
今天BO幾?,1
?,1
@Yves Flores Agree!,1
上來亂的,1
發呆?????,1
上來搞笑的....................,1
True @yves flores! Kakahiya sila. ,1
被針對了XD,1
就怕他突然掉線,1
諧星xddddd,1
謝謝阿乾,1
又在鬧,1
他是一種吉祥物嗎,1
好欸,1
直接放棄這局嗎@@,1
吉祥物有夠靠背,1
上來耍寶,1
kaya nga..ok lng yung swag..it doesn't mean na mayabang,1
好好笑,1
大力出奇跡,1
grabe pang ilang service error yun. ,1
yayyyyyyyyy,1
484場地有魔咒阿,1
有點難堪誒15分,1
第3局OVER,1
竟然是這樣結束的,1
wag sanang umabot ng 5th set to,1
實在哭哭,1
他下一局不會上了,1
看來今天國軍會上線！🫶,1
背鍋三人組,1
被大家笑死🤣🤣🤣🤣🤣🤣🤣,1
兩隊只要一逆風 就放推,1
上來搞笑的 瞬間比數拉開,1
JI,1
心態崩了,1
Hi,1
本來差五分的一下子就拉開15分,1
快樂打球！不要受傷最重要,1
hihi,1
女排打完了嗎,1
somyang pet set yang boy,1
打完了,1
沒錯 開心打球 不受傷就好,1
uy milk tea daw,1
讓我想起達叔說的 比賽就是戰爭,1
nakakahiya,1
nag attitude Ksi ayan deserve,1
擦乾,1
陳珠珠,1
@berry_ice cream24 Meron? Saan?,1
nakakahiya ka,1
kadiri,1
香,1
全壘打！,1
三壘安打,1
HR!,1
AI智慧移動,1
ikaw kasi ang malas,1
逼逼逼🤖,1
菲律賓妹子,1
No.19~~,1
3-1,1
XDD,1
High 起來,1
No. 9,1
:elbowcough::elbowcough::elbowcough:,1
很積極🙂,1
好拼,1
小菜一碟,1
111,1
歸化了吧,1
Wooooooooooo,1
natawa ako,1
好好笑,1
通通衝上去,1
要打他喔,1
跳跳跳 😆 ,1
笑死,1
YA,1
年輕人衝動喔,1
一分而已小心啊...,1
要給牌嗎?,1
啊,1
yellow senior citizen card,1
@berry_ice cream24 Ano yung tungkol sa MBs nila?,1
可以留言ㄌ,1
還想凹阿,1
let's gooooo,1
coach Moro is there,1
兇,1
爆氣！！,1
不要比了,1
我猜沒觸到,1
水,1
:elbowcough: 📒,1
太扯了,1
@Arjay Rhythm National team coach sya ng mens team.,1
通常會回放,1
SHEEEESHHH,1
今天太激烈了！,1
身體短了一點,1
有買喔,1
Kulang sa talon,1
nubayan,1
sayang!!! madidig pa sana yun,1
哎唷,1
身體短了勾不到,1
手短了點,1
水,1
WAG KA MUNA HUMIGA TEH😭😭,1
😆 ,1
很彈,1
Parang gusto ko tawagan si Dawn Macandili para magtry-out sa WS...,1
當你不想吵直接想拿牌,1
HOOOOOY JUSQQQ,1
my goshhhhh,1
yung mga errors nakakaiyak,1
wew! lumalayo na!!,1
shuta out pa,1
5局大戰,1
HOY ANG WRRORRRR HELPPP,1
又??,1
儒🈹真的不用這樣捏,1
Gogogo,1
真的很傷😭,1
有人森氣氣,1
戴,1
nag eerror lang talaga,1
火火火,1
off si MB kambal today. Isa pa naman siya sa mga reliable,1
真的很扯,1
軒,1
大姨媽來,1
八嘎囧,1
發生什麼事,1
怎麼了 發生什麼事情,1
ayan na naman. back to back error,1
the choker,1
嘶嘶嘶,1
靠邀,1
bawi!!!!,1
yong MB kambal isa siya sa mga consistent. off siya today,1
哇，揮棒落空,1
talo na naman.di talaga consistent laro nila.,1
這個,1
ang cutie talfa ng wifey 🤍,1
<3,1
👍🏿,1
那種沒辦法公正好不好,1
！！！！,1
好閃,1
冷靜冷靜!!!,1
不確定就公正 什麼鬼話,1
啊～～,1
Hi Myleen!,1
司線跟主審看法一樣納沒啥好爭啊,1
對阿,1
cute,1
小朋友會喔 黏著7大姊姊,1
XD,1
7,1
7,1
閃,1
XDD,1
pursyento nalang sana hyss,1
剛剛那麼白...,1
7,1
對啊好可愛,1
😎,1
哇,1
<3,1
doon pa lang Panalo na siya diba,1
<3,1
看個比賽眼睛差點瞎掉,1
Yung heartbeat ko ulit,1
還敢談戀愛啊（誤,1
Nalayo na,1
愛的力量,1
暉好勾追！,1
不會五局吧🥹,1
No.19,1
tuwang tuea talaga cla,1
愛的能量～～～,1
long rally,1
好閃我要瞎了,1
yung heartbeat ko nagfa-fast ,1
肯定五局,1
👏,1
真的是愛的力量🤣,1
好像有?,1
右邊是風水寶地,1
ang cutiee,1
有,1
尬🥹,1
Net Fault,1
cutieeeee,1
可愛,1
為什麼,1
3 na lang,1
@Azriel really? he's a gem,1
dalawa na lang!!!!,1
8025,1
tahimik c 19..,1
水,1
追上來啦,1
接近了!,1
go cutie,1
8110~,1
剛剛怎麼有個ㄊㄚㄇㄚ,1
ㄅㄆㄇ猴園,1
@Rhen really!?,1
愛的30分,1
八千！！,1
伸舌頭,1
30分是怎麼樣,1
monster!,1
敏漢剛剛直接狗喝水的快速擺動,1
nakakaiyak mga bhie. ,1
愛心,1
線上8118,1
5th set,1
cutie ni no. 1 ng taipower. emzzzz,1
噴鼻血,1
5局打好打滿,1
5th set juseyo,1
給隊友愛心,1
給我的,1
ibabaw 🙌,1
跳得真的好高！,1
powerspike,1
二楼半的杀球,1
30分了 太扯,1
把他換下去可以嗎,1
簡來,1
pakatonta ng setter,1
就說不能一直給 會被識破...XD,1
黃!正!良!,1
palitan muna c 20 coach,1
良好暈,1
給太貼,1
哎呀,1
erroooooorrrrr,1
只差兩分囉,1
omg,1
請問現場可買票嗎？,1
抓到你了!!,1
1v1,1
#20 Omg!,1
抓到了！,1
@Choy Borg ung setter bayan tonta sya be,1
1 by 1 daw sbi ni ate. hihihih,1
HONGJIE!!!! WE NEED YOU!,1
挖,1
他剛剛在幹嘛笑死,1
五局,1
ganda ng transition offense ng taipower mga bhie,1
資雅老公加由,1
兇,1
no.6 is like omg,1
哇,1
‼‼‼,1
愛心唷,1
🐒,1
那是你看的太少,1
尼特羅,1
lovescar,1
!!!!!,1
每個都在比愛心幹嘛啦XD,1
aluhhhh,1
嘲諷點滿🤣🤣,1
na heart,1
？,1
鐵壁!!!!,1
臭,1
笑死有人喊老二,1
下降了才打,1
🤣,1
🦍,1
一堆愛心XD,1
慘ㄌ,1
為甚麼是愛心XDD,1
這到底是什麼動作,1
愛心是什麼梗,1
😆 😆 ,1
笑死,1
5局了,1
大家想打第五局,1
好可愛的慶祝方式,1
