text,球員,教練,裁判,戰術,球隊
好奇瀞萱高打點大概是多高,1,0,0,0,0
阿敏今年比較少先發,1,0,0,0,0
小萱好球,1,0,0,0,0
最近比較有先發了,1,0,0,0,0
阿敏今年比較多吧😂,1,0,0,0,0
詩涵加油！💪💪💪,1,0,0,0,0
攔得好,0,0,0,1,0
愛山林加油💪,0,0,0,0,1
台電加油,0,0,0,0,1
好球愛山林！,0,0,0,0,1
⚡⚡🌲🌲💪💪,0,0,0,0,1
萱蓉好球,1,0,0,0,0
宣蓉越來越讚了,1,0,0,0,0
舉得也讚,0,0,0,1,0
愛山林水哦,0,0,0,0,1
姿雅好球,1,0,0,0,0
愛山林加油,0,0,0,0,1
詩涵好球,1,0,0,0,0
詩涵好球,1,0,0,0,0
今天自由都接好貼🥺🥺🥺,0,0,0,1,0
詩涵讚,1,0,0,0,0
愛山林拼了,0,0,0,0,1
愛山林拼了,0,0,0,0,1
愛山林加油💪,0,0,0,0,1
⚡⚡🌲🌲💪💪,0,0,0,0,1
自由接的都太貼了,0,0,0,1,0
愛山林加油,0,0,0,0,1
姿雅❤,1,0,0,0,0
這場有需要看嗎。台電3:0愛山林,0,0,0,0,1
⚡⚡⚡,0,0,0,0,1
⚡⚡🌲🌲💪💪,0,0,0,0,1
愛山林加油！,0,0,0,0,1
愛山林加油,0,0,0,0,1
愛山林加油,0,0,0,0,1
愛山林加油🤩🤩,0,0,0,0,1
thai power win 3-0 🤑🤑,0,0,0,1,0
愛山林票房毒藥,0,0,0,0,1
⚡⚡🌲🌲💪💪,0,0,0,0,1
妹妹們接球加油阿,0,0,0,1,0
請給球員鼓勵,1,0,0,0,0
so funny jv club playing🤣😂,0,0,0,1,0
愛山林撐住！不要放！！！,0,0,0,0,1
愛山林 加油,0,0,0,0,1
愛山林加油！,0,0,0,0,1
愛山林加油,0,0,0,0,1
⚡⚡🌲🌲💪💪,0,0,0,0,1
get one point lose five point🤣😂,0,0,0,1,0
愛山林加油啊,0,0,0,0,1
加油哎爱山林 放开打会更好,0,0,0,0,1
愛山林加油,0,0,0,0,1
現在鯨華實力似乎最佳,0,0,0,0,1
詩涵好球,1,0,0,0,0
kkkkk jv club volleyball its dream team.. they can't smash.. passing.. block n defense is so bad... good volleyball team..👍😂🤣😂😂,0,0,0,1,0
票房毒藥認證 愛山林,0,0,0,0,1
請問愛山林有主場嗎?,0,0,0,0,1
愛山林加油,0,0,0,0,1
愛山林加油!,0,0,0,0,1
愛山林是各隊拿來練兵用的沙包嗎,0,0,0,0,1
⚡⚡🌲🌲💪💪,0,0,0,0,1
愛山林加油,0,0,0,0,1
我是台電迷，但是，愛山林妹妹們，也要加油呀！！,0,0,0,0,1
詩涵這球漂亮喔,1,0,0,0,0
這磅數跟愛山林完全不同等級,0,0,0,0,1
妹妹們拿出之前跟台電纏鬥的精神和態度！💪💪,0,0,0,0,1
小萱的嗆斯求好美,1,0,0,0,0
終於在企聯看到惠瑩攻擊了,1,0,0,1,0
⚡⚡🌲🌲💪💪,0,0,0,0,1
想問，潘宣蓉的左手一直都是這種攻擊姿勢嗎，感覺跟去年看的時候不太一樣？,1,0,0,1,0
⚡⚡🌲🌲💪💪,0,0,0,0,1
詩涵好球,1,0,0,0,0
"其實這樣打好, 就算No in 也用力打",0,0,0,1,0
愛山林加油！,0,0,0,0,1
愛山林加油啊 最少要破10分阿,0,0,0,0,1
愛山林加油,0,0,0,0,1
惠瑩真的好強,1,0,0,0,0
教練臉好臭,0,1,0,0,0
⚡⚡🌲🌲💪💪,0,0,0,0,1
惠瑩起飛動作很完整,1,0,0,0,0
跟以前在愛山林比，磅數感覺也↑很多,0,0,0,0,1
詩涵加油,1,0,0,0,0
愛山林加油，你們很棒喔,0,0,0,0,1
惠瑩進步很多,1,0,0,0,0
今天該採訪惠瑩了吧,1,0,0,0,0
高雄台電！！圧倒的勝利！吃驚！！,0,0,0,0,1
我覺得惠瑩攻擊原本就很好了,1,0,0,1,0
"愛山林先把目標放在中國人纖看看, 希望可以打出信心",0,0,0,0,1
我有點擔心愛山林明年就不玩了,0,0,0,0,1
愛山林最後一局，徹底崩盤！,0,0,0,0,1
隨時都有可能掰山林,0,0,0,0,1
"回到四隊, 看看愛山林老闆怎麼想",0,0,0,0,1
都比賽完了，還說徹底崩盤，也沒救了,0,0,0,1,0
說不定選手家長會出來抗議,1,0,1,0,0
都说了爱山林是u20 在企联是学习和拿经验的 台湾排球也需要小将接班的,0,0,0,0,1
王教練很滿意,0,1,0,0,0
沒有外援，實力又有差距，輸球是想當然爾。,1,0,0,0,0
嘉蓉很有戲XD,1,0,0,0,0
講得比較直接的也是心疼愛山林啊,0,0,0,0,1
愛山林少了團練也是一環,0,0,0,0,1
很想看大康教練上訪問台啊,0,1,0,0,0
前兩年記得有拿一勝 對超跑 😆,0,0,0,0,1
對愛山林就是恨鐵不成鋼啊,0,0,0,0,1
我好奇當初愛山林是怎麼開始組隊的,0,0,0,0,1
惠瑩：太突然了,1,0,0,0,0
臺灣排球如果再完善點，愛山林就不用去越級挑戰一直被當沙包輕鬆打,0,0,1,0,1
"還是要看愛山林老闆怎麼想, 如果覺得無所謂, 他們就是要組高中隊打職業, 那也沒辦法",0,0,0,0,1
贏愛山林真的勝之不武啊～,0,0,0,0,1
愛山林幫其他各隊都培養出基礎很好的選手,1,0,0,0,1
或是考慮引進外援也不錯,1,0,0,0,0
愛山林建設這麼佛心 不計較戰績 訓練台灣潛力新秀 很讚啊,0,0,0,0,1
惠瑩是什麼學校,1,0,0,0,0
愛山林應該早就定位是陪練團,0,0,0,0,1
恭喜台電 辛苦愛山林的小學妹們了｡ 🙏,0,0,0,0,1
沒有要講愛山林,0,0,0,0,1
這個球評有當教練嗎,0,1,0,0,0
感謝主播、講評老師、轉播團隊｡,0,0,1,0,0
終於換主播了,0,0,1,0,0
愛山林加油!!!,0,0,0,0,1
中纎冠军！,0,0,0,0,1
中纖加油加油,0,0,0,0,1
愛山林加油,0,0,0,0,1
中纖加油啊💪🏻💪🏻,0,0,0,0,1
康教練兇喔,0,1,0,0,0
超跑跟愛山林的教練都已比往年還不兇了,0,1,0,0,1
今年康教練跟往年比根本超溫柔,0,1,0,0,0
外籍球員，覺得……待中纖，那氣氛比較不嚴肅,1,0,0,0,1
大康教練今年溫和多了 估計再過幾年就會變安西教練,0,1,0,0,0
佩茹:elbowcough:,1,0,0,0,0
我已經忘記盈綺在中纖了,1,0,0,0,1
愛山林加油,0,0,0,0,1
自由攻擊,0,0,0,1,0
蔓亞好技巧性,1,0,0,0,0
Sara的球風好像排少的佐久早，手腕超強ㄚ,1,0,0,0,0
注意看 這個女人叫小蔓 她太狠了,1,0,0,0,0
蔓亞今年大躍進 成為主要輸出,1,0,0,0,0
蔓亞,1,0,0,0,0
愛山林小將加油,0,0,0,0,1
怎麼不讓美菁上,1,0,0,0,0
童琦芳加油,1,0,0,0,0
主播好帥,0,0,1,0,0
玟君加油,1,0,0,0,0
其蓉好球,1,0,0,0,0
琦芳加油,1,0,0,0,0
纖女加油,1,0,0,0,0
蔓亞現在是中纖扛霸子了,1,0,0,0,1
set point,0,0,0,1,0
亭汝讚,1,0,0,0,0
蔓亞一顆一分😍😍😍,1,0,0,0,0
喜歡致平主播，但還是想問鄧公還在嗎😭,0,1,1,0,0
又得分了,0,0,0,1,0
大康教練用表情 球員就會知道要表達什麼了,1,1,0,0,0
雅慧太強了,1,0,0,0,0
應該要換一換人吧,0,0,0,1,0
雅慧姊發球有練過,1,0,0,1,0
雅慧跌倒了😂😂😂,1,0,0,0,0
沛緹蠻容易被追發球,1,0,0,1,0
詩涵好球,1,0,0,0,0
主播有看聊天室嗎，嗨嗨,0,0,1,0,0
為什麼都對上妹妹ㄌ還不讓本土球員上場QQ,1,0,0,0,0
原來不是只有我覺得鄧公怎麼不在 XD,0,1,0,0,0
真的不能小看愛山林小將ㄚ,0,0,0,0,1
舉球員表示...,1,0,0,1,0
舉球手：人勒,0,0,0,1,0
前排只剩舉球員一個人XD,1,0,0,1,0
阿寶家人都來支持，感覺溫馨,1,0,0,0,0
希望第三局能讓張芷瑄上場 剛剛看到盈綺上場 高興😊,1,0,0,0,0
雅慧這個賽季是不是拿到屠龍刀了,1,0,0,0,0
蔓亞 讚,1,0,0,0,0
希望小張可以上場,1,0,0,0,0
詩涵加油,1,0,0,0,0
詩涵磅數不容小覷,1,0,0,0,0
阿寶❤,1,0,0,0,0
挑戰,0,0,1,0,0
in,0,0,0,1,0
界內蠻明顯的 趁機休息吧,0,0,0,1,0
原來是觸網😅,0,0,0,1,0
教練小叮嚀時間,0,1,0,0,0
主播好懂我們期中考的痛苦,0,0,1,0,0
中纖加油,0,0,0,0,1
上禮拜中纖和鯨華也是deadline fighter,0,0,0,1,1
deadline是肯定的,0,0,0,1,0
亭汝攻擊超效率,1,0,0,1,0
愛山林加油💪,0,0,0,0,1
大康教練幹嘛這麼溫和拉 XD,0,1,0,0,0
許願 小張可以上場🙏,1,0,0,0,0
蔓亞+雅慧 中纖鐵壁,1,0,0,0,1
中纖加油,0,0,0,0,1
詩涵帥啦,1,0,0,0,0
詩涵好球～～,1,0,0,0,0
黎文好球,1,0,0,0,0
蔓亞做什麼都得分欸,1,0,0,1,0
小張可愛,1,0,0,0,0
中纖之前的教練呢?,0,1,0,0,1
恩崇教練在旁邊啊,0,1,0,0,0
阿寶 帥,1,0,0,0,0
詩涵加油,1,0,0,0,0
詩涵好猛喔,1,0,0,0,0
愛山林加油,0,0,0,0,1
其蓉,1,0,0,0,0
愛山林好球,0,0,0,0,1
詩涵這落點好猛,1,0,0,0,0
IN,0,0,0,1,0
這場就是詩涵和蔓雅互轟,1,0,0,0,0
詩涵也有高度，真的讚,1,0,0,0,0
挑戰沒有了喔,0,0,1,0,0
庭崴是中纖新人嘛,0,0,0,0,1
愛山林 加油！,0,0,0,0,1
上週就差一個挑戰,0,0,1,0,0
愛山林加油,0,0,0,0,1
這局愛山林沒有崩,0,0,0,0,1
球給詩涵,1,0,0,0,0
詩涵加油,1,0,0,0,0
山林加油,0,0,0,0,1
為什麼不換美菁,1,0,0,0,0
讚！愛山林,0,0,0,0,1
蔓亞罩,1,0,0,0,0
中纖加油,0,0,0,0,1
當然是訪問詩涵,1,0,0,0,0
愛山林好像變強了 XD,0,0,0,0,1
這個挑戰心臟很大顆喔,0,0,1,0,0
教練能得分嗎,0,1,0,1,0
大康老師的鷹眼 XD,0,0,1,0,0
大家都沒有挑戰了,0,0,1,0,0
這樣會判分哦,0,0,1,0,0
請問今天童琦芳有上來了嗎@@?,1,0,0,0,0
7芳正在場上啊,1,0,0,0,0
剛剛有上場發球啊,0,0,0,1,0
教練太急了,0,1,0,0,0
剛才換上來發球，然後接發爆了一顆,0,0,0,1,0
輸教練,0,1,0,0,0
感覺教練⋯,0,1,0,0,0
教練失誤了...,0,1,0,1,0
教練不該,0,1,0,0,0
教練要生氣了,0,1,0,0,0
恭喜中纖 拜託訪其蓉,1,0,0,0,1
沒事 教練扛,0,1,0,0,0
等等希望能訪蔓亞+靖瑩,1,0,0,0,0
中纖贏了好棒棒,0,0,0,0,1
訪sara,1,0,0,0,0
Sara 好漂亮,1,0,0,0,0
蔓亞,1,0,0,0,0
愛山林都還沒贏過球,0,0,0,0,1
其蓉 蔓亞？,1,0,0,0,0
Sara,1,0,0,0,0
雅慧也有機會吧,1,0,0,0,0
愛山林比去年也進步很多,0,0,0,0,1
亭汝,1,0,0,0,0
這樣下次進場帶喉糖給曾教練,0,1,0,0,0
哇 竟然是亭汝,1,0,0,0,0
曾教練聲音真的很纖細XDD,0,1,0,0,0
好猛 其蓉,1,0,0,0,0
其蓉講話好好笑,1,0,0,0,0
其蓉真可愛,1,0,0,0,0
其蓉好可愛,1,0,0,0,0
書荷也很可怕,1,0,0,0,0
張主播今天來釣魚的對吧,0,0,1,0,0
其蓉最可愛😍,1,0,0,0,0
其蓉,1,0,0,0,0
Ten thousand minutes later,0,0,0,1,0
Winstreak❤🙏,0,0,0,1,0
台電冠軍！正良加油！,1,0,0,0,1
大星的腳好像恢復差不多了,1,0,0,0,0
連莊 ❤❤,1,0,0,0,1
last 10 mins,0,0,0,1,0
fighting 💪 winstreak,0,0,0,1,0
is it finals ?,0,0,0,1,0
連莊加油,1,0,0,0,1
last 9 mins,0,0,0,1,0
台電衝呀！🫶🫶🫶,0,0,0,0,1
last 8 mins,0,0,0,1,0
連莊連莊❤❤,1,0,0,0,1
連莊加油,1,0,0,0,1
last 7 mins,0,0,0,1,0
go winstreak ❤❤,0,0,0,1,0
last 6 mins,0,0,0,1,0
last 5 mins,0,0,0,1,0
last 4 mins,0,0,0,1,0
主播換裝？,0,0,1,0,0
last 4 mins,0,0,0,1,0
建欽要上！,1,0,0,0,0
last 3 mins,0,0,0,1,0
LET'S GOOOOOOO WINSTREAK,0,0,0,1,0
go WinsStreak!!! #1 Bryan Bagunas,1,0,0,1,0
last 2 mins,0,0,0,1,0
LET'S GOOOOOOO WINSTREAK!!!,0,0,0,1,0
LET'S GOOOOOOO WINSTREAK!!!,0,0,0,1,0
有連莊一定夯💚,1,0,0,0,1
連莊💚🏐🏐,1,0,0,0,1
預測比分；第一場 30:28連莊贏,1,0,0,0,1
Taipower is really a powerhouse volleyball club....even their women's team is also playing for championship against king whale.,0,0,0,1,1
gogo Taipower,0,0,0,0,1
大星先發！,1,0,0,0,0
last 1 mini seconda,0,0,0,1,0
紋誠阿良🥹,1,0,0,0,0
沒先發 從板凳嗎？,1,0,0,0,0
紋誠加油~,1,0,0,0,0
"fearless forecast, Winstreak wins in 3 sets ",0,0,0,1,0
好想跟布萊恩:face-red-heart-shape::face-red-heart-shape:,1,0,0,1,0
又是汪汪拿第一分,1,0,0,0,0
汪汪隊🐶好讚,1,0,0,0,0
Yi-Hui Lin ♥ Taipower no. 19,1,0,0,1,1
台電加油！,0,0,0,0,1
阿良强,1,0,0,0,0
阿良帥,1,0,0,0,0
紋誠好了 好棒,1,0,0,0,0
不知道紋誠傷勢如何？希望他早日康復,1,0,0,0,0
陳冠銘好球,1,0,0,0,0
詹 好球！,1,0,0,0,0
紋誠在場上了,1,0,0,0,0
Taipower no. 19 ♥,1,0,0,0,1
nice 鴻敏💪,1,0,0,0,0
台電的阿北也拚了,0,0,0,0,1
winstreak for the win,0,0,0,1,0
紋誠恢復的很快喔！讚讚讚,1,0,0,0,0
阿良挑戰！,1,0,1,0,0
阿良信心滿滿,1,0,0,0,0
阿良好帥！！！,1,0,0,0,0
台電加油！我挺台電贏,0,0,0,0,1
紋誠接殺,1,0,0,0,0
宋真的敢打 膽子也大！,1,0,0,0,0
救得好讚,0,0,0,1,0
台電嗨起來！,0,0,0,0,1
阿良差點直接得分,1,0,0,1,0
NONO配球不錯 很敢,1,0,0,0,0
Go Taipower,0,0,0,0,1
marck espejo applied for korean vleague and the 3 pinoys. win streak twin applied also,0,0,0,1,0
Thank You Hop Sports for Yi Hui Lin ♥,0,0,0,1,0
大星好球！,1,0,0,0,0
紋誠太猛了,1,0,0,0,0
⚡⚡⚡,0,0,0,0,1
Pag pinoy land of talunan,0,0,0,1,0
阿良好球🫶,1,0,0,0,0
阿良帥,1,0,0,0,0
⚡⚡⚡,0,0,0,0,1
阿良有醒就好打,1,0,0,0,0
9 from Taiwan were called. the most in mens.,0,0,0,1,0
布萊恩 無解,1,0,0,0,0
嬸表示: 我攔過211的呢,1,0,0,1,0
給我電電⚡⚡,0,0,0,0,1
恭喜許紋誠無礙。屏東台電加油加油加油。,1,0,0,0,1
汪秉勳加油,1,0,0,0,0
阿良好球！,1,0,0,0,0
阿良要發威啦,1,0,0,0,0
阿良真的太重要,1,0,0,0,0
阿良嗨起來！,1,0,0,0,0
嬸的舉球好棒！,1,0,0,1,0
對啊，看到紋誠沒事，就很高興,1,0,0,0,0
阿良讚,1,0,0,0,0
宜暉🫶,1,0,0,0,0
誰能不愛宜暉🥺,1,0,0,0,0
宜暉巨人,1,0,0,0,0
今天沒有宜暉鐵粉,1,0,0,0,0
Thailand has the most invitees for the females.,0,0,0,1,0
連莊是10分嗎,1,0,0,0,1
Go Taipower,0,0,0,0,1
布莱恩太强了啦,1,0,0,0,0
連莊是不是少一分,1,0,0,0,1
宜暉棒,1,0,0,0,0
沈建欽呢,1,0,0,0,0
sinu-sino po yung nag apply sa mens for Korea?,0,0,0,1,0
嬸 ：拼命跳！,1,0,0,0,0
布萊恩 今天針對嬸,1,0,0,0,0
針對詹接發就對了,1,0,0,1,0
汪汪隊🐶今天也要立大功！,1,0,0,0,0
布萊恩~強,1,0,0,0,0
阿良跳不太起來的感覺,1,0,0,0,0
沛彰巨人！,1,0,0,0,0
還是得沛彰來,1,0,0,0,0
"@Yves Flores Hindi pa nagconfirm sila Espejo, Bugaon, sumanguid, Si pogi ng cotabato(Uste)?",0,0,0,1,0
真能救,0,0,0,1,0
Come On Bryan,1,0,0,0,0
布萊恩的球真的很難防,1,0,0,0,0
聽說沛彰有受邀韓國排球聯賽的外援徵選，不知道是不是真的,1,0,0,0,0
詹明翰到底發什麼小便球,1,0,0,0,0
布萊恩打嗨了！,1,0,0,0,0
thanks! sana more pinoy mag try abroad!,0,0,0,1,0
阿良好球！,1,0,0,0,0
布萊恩是怪物跳那麼高幹嘛,1,0,0,0,0
Go Bryan!!!,1,0,0,0,0
我在現場 布萊恩跳起來肚臍在網子上好扯,1,0,0,0,0
連莊加油,1,0,0,0,1
出色的攻擊！,0,0,0,1,0
@Yves Flores Per invitation lang yun eh.,0,0,0,1,0
Go Taipower,0,0,0,0,1
大星！！！,1,0,0,0,0
我有看到沈建欽 鴻敏鴻杰去韓國,1,0,0,0,0
大星神仙！！！,1,0,0,0,0
大星炮彈,1,0,0,0,0
球員的it上,1,0,0,0,0
今天教練沒有耳機耶,0,1,0,0,0
佳軒！！！🫶,1,0,0,0,0
旻翰,1,0,0,0,0
不能斷電,0,0,0,0,1
@Chippedpain Yes. at 1st.,0,0,0,1,0
雙胞胎進攻,1,0,0,1,0
今天也是佳軒的障礙賽！！,1,0,0,0,0
雙胞胎默契！！,1,0,0,0,0
這鏡頭拍接發很有臨場感,0,0,0,1,0
台電必勝,0,0,0,0,1
冠洲際導彈,1,0,0,0,0
高修信會上嗎,1,0,0,0,0
最近政治新聞看太多 看到林冠洲想到林為州😂,1,0,0,0,0
come on twins,0,0,0,1,0
宇晨要當幸運星！,1,0,0,0,0
Go Taipower,0,0,0,0,1
自從被看到大康在場外戴耳機，連莊場內教練就不戴了😆😆😆,1,1,0,0,1
台電穩定供電,0,0,0,0,1
@Chippedpain @name,0,0,0,1,0
連教練好,0,1,0,0,0
:face-fuchsia-tongue-out:,0,0,0,1,0
董事長是教練嗎？,0,1,0,0,0
連董好像很懂欸XD,0,1,0,0,0
連董真的很愛排球欸,0,1,0,0,0
可以不要拍連董嗎？,0,1,0,0,0
連董是磕金大佬！,0,1,0,0,0
kaya pa yan!!! go winstreak!! go bryan!!!,1,0,0,1,0
真的，有錢就直接創球隊,0,0,0,0,1
把球用高給布萊恩戰術,1,0,0,0,0
go winstreak,0,0,0,1,0
宋在幹嘛,1,0,0,0,0
這季沒有冠軍的話連董還會繼續玩嗎,0,1,0,0,0
要感謝連董 不然還沒連莊,1,1,0,0,1
walang nagdidig mga accling 💀,0,0,0,1,0
大星真的帥炸,1,0,0,0,0
:face-orange-biting-nails:,0,0,0,1,0
hina ng floor defense ng WS,0,0,0,1,0
go go bryan,1,0,0,0,0
布萊恩...,1,0,0,0,0
布萊恩好狠！,1,0,0,0,0
gov bryan,1,0,0,0,0
布萊恩 根本不同世界的,1,0,0,0,0
lets go winstreak,0,0,0,1,0
go einstreak,0,0,0,1,0
22平手了,0,0,0,1,0
阿亮修得漂亮,1,0,0,0,0
天啊，台電加油！,0,0,0,0,1
ayan na!!! safe serve bryan!!!!,1,0,0,0,0
阿亮厲害,1,0,0,0,0
佳軒的接發好漂亮！,1,0,0,1,0
GO WINSTREAK ❤,0,0,0,1,0
救我 聽不懂台語🙃,0,0,0,1,0
safe serve lang muna Bryan!!!,1,0,0,0,0
winstreak. lets gooooooo,0,0,0,1,0
Go Winstreak 👏👏,0,0,0,1,0
ACE,0,0,0,1,0
ACE!!!!!,0,0,0,1,0
BRYAN KINGING,1,0,0,1,0
教練說布萊恩攻擊會看手型，所以攔網不能固定,1,1,0,1,0
剛剛台語是說布萊恩的球來的時候你的手要移動（大概這樣）。,1,0,0,0,0
布萊恩怪物,1,0,0,0,0
連莊如果沒有布萊恩，未必能打進冠軍賽,1,0,0,0,1
INSIDE,0,0,0,1,0
台電王者之風拿出來。連莊歐洲之遊夢快實現。兩隊都加油。,1,0,0,0,1
in!!!!,0,0,0,1,0
佳軒好球！,1,0,0,0,0
set point!!!!,0,0,0,1,0
Isunstitute dapat si Lin Guanjhou kapag nasa likod yung isang wing spiker. Dagdag floor defense.,0,0,0,1,0
inside!!!,0,0,0,1,0
outside,0,0,0,1,0
ilaban nyo yan winstreak!!!!!!!!,0,0,0,1,0
in,0,0,0,1,0
IN耶🥰😍,0,0,0,1,0
IN,0,0,0,1,0
insideeeeee,0,0,0,1,0
in,0,0,0,1,0
in,0,0,0,1,0
超明顯的IN~😍,0,0,0,1,0
in in in,0,0,0,1,0
in,0,0,0,1,0
延誤挑戰,0,0,1,0,0
go go winstreak,0,0,0,1,0
看起來是in,0,0,0,1,0
in,0,0,0,1,0
感覺超in😂,0,0,0,1,0
In,0,0,0,1,0
inside,0,0,0,1,0
kinakabahqn ako sa serve ni Bryan,1,0,0,1,0
Inside!!! Set point!!!,0,0,0,1,0
界內啦,0,0,0,1,0
kay bryan pag maganda char,1,0,0,0,0
nakakainggit talaga yung hawkeye camera sksksks,0,0,0,1,0
